NUTS,Location,Year,Company Type,Number of Companies,Productivity
NUTS I,Portugal Continental,2009,Mining and quarrying,1377,42777.6
NUTS III,Alto Minho,2009,Mining and quarrying,72,18616.7
NUTS III,Cávado,2009,Mining and quarrying,56,12645.5
NUTS III,Ave,2009,Mining and quarrying,55,16608.6
NUTS III,Área Metropolitana do Porto,2009,Mining and quarrying,54,18616.7
NUTS III,Alto Tâmega,2009,Mining and quarrying,54,19563
NUTS III,Tâmega e Sousa,2009,Mining and quarrying,91,14098.4
NUTS III,Douro,2009,Mining and quarrying,54,20810.9
NUTS III,Terras de Trás-os-Montes,2009,Mining and quarrying,15,22407.7
NUTS III,Oeste,2009,Mining and quarrying,101,32026.6
NUTS III,Região de Aveiro,2009,Mining and quarrying,40,32946
NUTS III,Região de Coimbra,2009,Mining and quarrying,67,27573.1
NUTS III,Região de Leiria,2009,Mining and quarrying,192,41254.6
NUTS III,Viseu Dão Lafões,2009,Mining and quarrying,52,32946
NUTS III,Beira Baixa,2009,Mining and quarrying,6,40276.3
NUTS III,Médio Tejo,2009,Mining and quarrying,17,32946
NUTS III,Beiras e Serra da Estrela,2009,Mining and quarrying,59,20231.9
NUTS III,Área Metropolitana de Lisboa,2009,Mining and quarrying,125,37902.1
NUTS III,Alentejo Litoral,2009,Mining and quarrying,11,38319.2
NUTS III,Baixo Alentejo,2009,Mining and quarrying,11,205143.7
NUTS III,Lezíria do Tejo,2009,Mining and quarrying,102,34722.7
NUTS III,Alto Alentejo,2009,Mining and quarrying,19,16735.8
NUTS III,Alentejo Central,2009,Mining and quarrying,69,18360.1
NUTS III,Algarve,2009,Mining and quarrying,55,26051.9
NUTS I,Portugal Continental,2009,Construction,111314,19934.8
NUTS III,Alto Minho,2009,Construction,4159,13007.1
NUTS III,Cávado,2009,Construction,4627,20114.1
NUTS III,Ave,2009,Construction,3568,15869.8
NUTS III,Área Metropolitana do Porto,2009,Construction,14011,22720.8
NUTS III,Alto Tâmega,2009,Construction,990,14227.6
NUTS III,Tâmega e Sousa,2009,Construction,4671,14996.6
NUTS III,Douro,2009,Construction,1875,12893.1
NUTS III,Terras de Trás-os-Montes,2009,Construction,1315,12523.7
NUTS III,Oeste,2009,Construction,5523,16202.2
NUTS III,Região de Aveiro,2009,Construction,5056,14499.1
NUTS III,Região de Coimbra,2009,Construction,6288,16065.2
NUTS III,Região de Leiria,2009,Construction,5421,20176.9
NUTS III,Viseu Dão Lafões,2009,Construction,3379,16043.6
NUTS III,Beira Baixa,2009,Construction,1032,13739.6
NUTS III,Médio Tejo,2009,Construction,3256,17089.2
NUTS III,Beiras e Serra da Estrela,2009,Construction,2804,15734
NUTS III,Área Metropolitana de Lisboa,2009,Construction,27491,25666
NUTS III,Alentejo Litoral,2009,Construction,979,18453.8
NUTS III,Baixo Alentejo,2009,Construction,1080,12059.7
NUTS III,Lezíria do Tejo,2009,Construction,2239,17830.9
NUTS III,Alto Alentejo,2009,Construction,900,11837.9
NUTS III,Alentejo Central,2009,Construction,1535,12953.7
NUTS III,Algarve,2009,Construction,9115,15881
NUTS I,Portugal Continental,2009,Human health and social work activities,79309,19676.9
NUTS III,Alto Minho,2009,Human health and social work activities,1504,18159
NUTS III,Cávado,2009,Human health and social work activities,2803,15890.5
NUTS III,Ave,2009,Human health and social work activities,2304,14828.1
NUTS III,Área Metropolitana do Porto,2009,Human health and social work activities,16888,21330
NUTS III,Alto Tâmega,2009,Human health and social work activities,436,15678
NUTS III,Tâmega e Sousa,2009,Human health and social work activities,1738,12587.5
NUTS III,Douro,2009,Human health and social work activities,1124,15520.9
NUTS III,Terras de Trás-os-Montes,2009,Human health and social work activities,700,17071.8
NUTS III,Oeste,2009,Human health and social work activities,1878,16106.8
NUTS III,Região de Aveiro,2009,Human health and social work activities,2139,17189.3
NUTS III,Região de Coimbra,2009,Human health and social work activities,4949,21370.1
NUTS III,Região de Leiria,2009,Human health and social work activities,1729,15840.5
NUTS III,Viseu Dão Lafões,2009,Human health and social work activities,1579,17392
NUTS III,Beira Baixa,2009,Human health and social work activities,478,15216.5
NUTS III,Médio Tejo,2009,Human health and social work activities,1310,17264.5
NUTS III,Beiras e Serra da Estrela,2009,Human health and social work activities,1157,16030.4
NUTS III,Área Metropolitana de Lisboa,2009,Human health and social work activities,29378,21502.5
NUTS III,Alentejo Litoral,2009,Human health and social work activities,425,14280.1
NUTS III,Baixo Alentejo,2009,Human health and social work activities,609,14996
NUTS III,Lezíria do Tejo,2009,Human health and social work activities,1330,16397.6
NUTS III,Alto Alentejo,2009,Human health and social work activities,573,15732.3
NUTS III,Alentejo Central,2009,Human health and social work activities,1034,14856.6
NUTS III,Algarve,2009,Human health and social work activities,3244,19688.5
NUTS I,Portugal Continental,2009,"Agriculture, farming, hunting, forestry and fishing",49076,9944.2
NUTS III,Alto Minho,2009,"Agriculture, farming, hunting, forestry and fishing",912,8007.5
NUTS III,Cávado,2009,"Agriculture, farming, hunting, forestry and fishing",1541,13030.5
NUTS III,Ave,2009,"Agriculture, farming, hunting, forestry and fishing",726,11062.3
NUTS III,Área Metropolitana do Porto,2009,"Agriculture, farming, hunting, forestry and fishing",3329,10311
NUTS III,Alto Tâmega,2009,"Agriculture, farming, hunting, forestry and fishing",645,5590.8
NUTS III,Tâmega e Sousa,2009,"Agriculture, farming, hunting, forestry and fishing",981,5733.3
NUTS III,Douro,2009,"Agriculture, farming, hunting, forestry and fishing",2161,8016.1
NUTS III,Terras de Trás-os-Montes,2009,"Agriculture, farming, hunting, forestry and fishing",1261,6891.3
NUTS III,Oeste,2009,"Agriculture, farming, hunting, forestry and fishing",4446,13989.9
NUTS III,Região de Aveiro,2009,"Agriculture, farming, hunting, forestry and fishing",1739,15702.5
NUTS III,Região de Coimbra,2009,"Agriculture, farming, hunting, forestry and fishing",1814,12317.8
NUTS III,Região de Leiria,2009,"Agriculture, farming, hunting, forestry and fishing",1234,14198
NUTS III,Viseu Dão Lafões,2009,"Agriculture, farming, hunting, forestry and fishing",1310,9808.9
NUTS III,Beira Baixa,2009,"Agriculture, farming, hunting, forestry and fishing",769,4177.2
NUTS III,Médio Tejo,2009,"Agriculture, farming, hunting, forestry and fishing",1076,14908.7
NUTS III,Beiras e Serra da Estrela,2009,"Agriculture, farming, hunting, forestry and fishing",1420,6464.9
NUTS III,Área Metropolitana de Lisboa,2009,"Agriculture, farming, hunting, forestry and fishing",5239,11208.3
NUTS III,Alentejo Litoral,2009,"Agriculture, farming, hunting, forestry and fishing",2686,9751.1
NUTS III,Baixo Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",3351,5527.1
NUTS III,Lezíria do Tejo,2009,"Agriculture, farming, hunting, forestry and fishing",3266,11429.6
NUTS III,Alto Alentejo,2009,"Agriculture, farming, hunting, forestry and fishing",2020,4990.5
NUTS III,Alentejo Central,2009,"Agriculture, farming, hunting, forestry and fishing",3267,6161.6
NUTS III,Algarve,2009,"Agriculture, farming, hunting, forestry and fishing",3883,9322.2
NUTS I,Portugal Continental,2009,Manufacturing,75150,23493.4
NUTS III,Alto Minho,2009,Manufacturing,1712,18875.3
NUTS III,Cávado,2009,Manufacturing,5001,18875.3
NUTS III,Ave,2009,Manufacturing,5765,18875.3
NUTS III,Área Metropolitana do Porto,2009,Manufacturing,16906,18875.3
NUTS III,Alto Tâmega,2009,Manufacturing,495,18875.3
NUTS III,Tâmega e Sousa,2009,Manufacturing,4785,18875.3
NUTS III,Douro,2009,Manufacturing,1053,18875.3
NUTS III,Terras de Trás-os-Montes,2009,Manufacturing,687,18875.3
NUTS III,Oeste,2009,Manufacturing,2905,20417.7
NUTS III,Região de Aveiro,2009,Manufacturing,3817,26857.1
NUTS III,Região de Coimbra,2009,Manufacturing,3015,32642.1
NUTS III,Região de Leiria,2009,Manufacturing,3518,24733.5
NUTS III,Viseu Dão Lafões,2009,Manufacturing,1610,24508.4
NUTS III,Beira Baixa,2009,Manufacturing,584,14907.3
NUTS III,Médio Tejo,2009,Manufacturing,1824,23401.3
NUTS III,Beiras e Serra da Estrela,2009,Manufacturing,1497,15333.1
NUTS III,Área Metropolitana de Lisboa,2009,Manufacturing,13140,36947.1
NUTS III,Alentejo Litoral,2009,Manufacturing,487,21975.6
NUTS III,Baixo Alentejo,2009,Manufacturing,760,21975.6
NUTS III,Lezíria do Tejo,2009,Manufacturing,1569,21975.6
NUTS III,Alto Alentejo,2009,Manufacturing,676,21975.6
NUTS III,Alentejo Central,2009,Manufacturing,1191,21975.6
NUTS III,Algarve,2009,Manufacturing,2153,14434.4
NUTS I,Portugal Continental,2010,Mining and quarrying,1282,50089.1
NUTS III,Alto Minho,2010,Mining and quarrying,64,24816.5
NUTS III,Cávado,2010,Mining and quarrying,56,12817.3
NUTS III,Ave,2010,Mining and quarrying,53,15925.2
NUTS III,Área Metropolitana do Porto,2010,Mining and quarrying,48,24720.9
NUTS III,Alto Tâmega,2010,Mining and quarrying,55,17352.7
NUTS III,Tâmega e Sousa,2010,Mining and quarrying,87,14162.1
NUTS III,Douro,2010,Mining and quarrying,50,18374.6
NUTS III,Terras de Trás-os-Montes,2010,Mining and quarrying,17,28520.3
NUTS III,Oeste,2010,Mining and quarrying,94,28832.9
NUTS III,Região de Aveiro,2010,Mining and quarrying,40,32053.8
NUTS III,Região de Coimbra,2010,Mining and quarrying,62,32053.8
NUTS III,Região de Leiria,2010,Mining and quarrying,178,41292.5
NUTS III,Viseu Dão Lafões,2010,Mining and quarrying,47,32053.8
NUTS III,Beira Baixa,2010,Mining and quarrying,7,32053.8
NUTS III,Médio Tejo,2010,Mining and quarrying,16,32053.8
NUTS III,Beiras e Serra da Estrela,2010,Mining and quarrying,56,32053.8
NUTS III,Área Metropolitana de Lisboa,2010,Mining and quarrying,107,37362.3
NUTS III,Alentejo Litoral,2010,Mining and quarrying,11,34336.2
NUTS III,Baixo Alentejo,2010,Mining and quarrying,9,241268.2
NUTS III,Lezíria do Tejo,2010,Mining and quarrying,94,38694.8
NUTS III,Alto Alentejo,2010,Mining and quarrying,13,33608.6
NUTS III,Alentejo Central,2010,Mining and quarrying,63,21832.8
NUTS III,Algarve,2010,Mining and quarrying,55,23915.4
NUTS I,Portugal Continental,2010,Construction,100898,19847.8
NUTS III,Alto Minho,2010,Construction,3996,13098.1
NUTS III,Cávado,2010,Construction,4464,19199
NUTS III,Ave,2010,Construction,3379,16361.6
NUTS III,Área Metropolitana do Porto,2010,Construction,12929,23779.4
NUTS III,Alto Tâmega,2010,Construction,932,14282.9
NUTS III,Tâmega e Sousa,2010,Construction,4441,14283.7
NUTS III,Douro,2010,Construction,1814,14090.7
NUTS III,Terras de Trás-os-Montes,2010,Construction,1260,13217.5
NUTS III,Oeste,2010,Construction,4954,15712.7
NUTS III,Região de Aveiro,2010,Construction,4640,14794
NUTS III,Região de Coimbra,2010,Construction,5771,15845
NUTS III,Região de Leiria,2010,Construction,5034,19722.4
NUTS III,Viseu Dão Lafões,2010,Construction,3239,15885.2
NUTS III,Beira Baixa,2010,Construction,980,15260.5
NUTS III,Médio Tejo,2010,Construction,3032,16734.4
NUTS III,Beiras e Serra da Estrela,2010,Construction,2596,16744.3
NUTS III,Área Metropolitana de Lisboa,2010,Construction,23775,25355.4
NUTS III,Alentejo Litoral,2010,Construction,904,17140.3
NUTS III,Baixo Alentejo,2010,Construction,932,12054.8
NUTS III,Lezíria do Tejo,2010,Construction,1985,16270.2
NUTS III,Alto Alentejo,2010,Construction,819,11422.6
NUTS III,Alentejo Central,2010,Construction,1412,13755.5
NUTS III,Algarve,2010,Construction,7610,15675
NUTS I,Portugal Continental,2010,Human health and social work activities,80117,19913.9
NUTS III,Alto Minho,2010,Human health and social work activities,1535,18098.9
NUTS III,Cávado,2010,Human health and social work activities,2901,22119.2
NUTS III,Ave,2010,Human health and social work activities,2422,15629.8
NUTS III,Área Metropolitana do Porto,2010,Human health and social work activities,17071,21368.1
NUTS III,Alto Tâmega,2010,Human health and social work activities,454,15862.8
NUTS III,Tâmega e Sousa,2010,Human health and social work activities,1810,12919.8
NUTS III,Douro,2010,Human health and social work activities,1113,16005.4
NUTS III,Terras de Trás-os-Montes,2010,Human health and social work activities,734,16647.7
NUTS III,Oeste,2010,Human health and social work activities,1871,16411.2
NUTS III,Região de Aveiro,2010,Human health and social work activities,2180,16790.4
NUTS III,Região de Coimbra,2010,Human health and social work activities,4992,20421
NUTS III,Região de Leiria,2010,Human health and social work activities,1798,15662.6
NUTS III,Viseu Dão Lafões,2010,Human health and social work activities,1666,16613.9
NUTS III,Beira Baixa,2010,Human health and social work activities,472,15769.2
NUTS III,Médio Tejo,2010,Human health and social work activities,1342,15954.1
NUTS III,Beiras e Serra da Estrela,2010,Human health and social work activities,1227,15501.2
NUTS III,Área Metropolitana de Lisboa,2010,Human health and social work activities,29157,21785.5
NUTS III,Alentejo Litoral,2010,Human health and social work activities,445,12041.5
NUTS III,Baixo Alentejo,2010,Human health and social work activities,607,15235.9
NUTS III,Lezíria do Tejo,2010,Human health and social work activities,1344,15330.2
NUTS III,Alto Alentejo,2010,Human health and social work activities,595,15242.4
NUTS III,Alentejo Central,2010,Human health and social work activities,1080,15462.8
NUTS III,Algarve,2010,Human health and social work activities,3301,18381.9
NUTS I,Portugal Continental,2010,"Agriculture, farming, hunting, forestry and fishing",47875,10899.1
NUTS III,Alto Minho,2010,"Agriculture, farming, hunting, forestry and fishing",916,9799.3
NUTS III,Cávado,2010,"Agriculture, farming, hunting, forestry and fishing",1503,11424
NUTS III,Ave,2010,"Agriculture, farming, hunting, forestry and fishing",713,10729.1
NUTS III,Área Metropolitana do Porto,2010,"Agriculture, farming, hunting, forestry and fishing",3220,11108.6
NUTS III,Alto Tâmega,2010,"Agriculture, farming, hunting, forestry and fishing",617,7295.8
NUTS III,Tâmega e Sousa,2010,"Agriculture, farming, hunting, forestry and fishing",958,6292.9
NUTS III,Douro,2010,"Agriculture, farming, hunting, forestry and fishing",2112,8682.2
NUTS III,Terras de Trás-os-Montes,2010,"Agriculture, farming, hunting, forestry and fishing",1311,7777.8
NUTS III,Oeste,2010,"Agriculture, farming, hunting, forestry and fishing",4266,14855.2
NUTS III,Região de Aveiro,2010,"Agriculture, farming, hunting, forestry and fishing",1664,17233.2
NUTS III,Região de Coimbra,2010,"Agriculture, farming, hunting, forestry and fishing",1733,14871.1
NUTS III,Região de Leiria,2010,"Agriculture, farming, hunting, forestry and fishing",1176,14527.4
NUTS III,Viseu Dão Lafões,2010,"Agriculture, farming, hunting, forestry and fishing",1270,11170.4
NUTS III,Beira Baixa,2010,"Agriculture, farming, hunting, forestry and fishing",756,7709.8
NUTS III,Médio Tejo,2010,"Agriculture, farming, hunting, forestry and fishing",1016,17023.9
NUTS III,Beiras e Serra da Estrela,2010,"Agriculture, farming, hunting, forestry and fishing",1422,6375.3
NUTS III,Área Metropolitana de Lisboa,2010,"Agriculture, farming, hunting, forestry and fishing",5123,12111.7
NUTS III,Alentejo Litoral,2010,"Agriculture, farming, hunting, forestry and fishing",2701,10744.7
NUTS III,Baixo Alentejo,2010,"Agriculture, farming, hunting, forestry and fishing",3294,6459.2
NUTS III,Lezíria do Tejo,2010,"Agriculture, farming, hunting, forestry and fishing",3124,12570.8
NUTS III,Alto Alentejo,2010,"Agriculture, farming, hunting, forestry and fishing",1996,5361.2
NUTS III,Alentejo Central,2010,"Agriculture, farming, hunting, forestry and fishing",3219,7523.8
NUTS III,Algarve,2010,"Agriculture, farming, hunting, forestry and fishing",3765,9331.3
NUTS I,Portugal Continental,2010,Manufacturing,70310,26294
NUTS III,Alto Minho,2010,Manufacturing,1655,28634.9
NUTS III,Cávado,2010,Manufacturing,4646,17450.6
NUTS III,Ave,2010,Manufacturing,5359,19541
NUTS III,Área Metropolitana do Porto,2010,Manufacturing,15762,24186.9
NUTS III,Alto Tâmega,2010,Manufacturing,467,18544
NUTS III,Tâmega e Sousa,2010,Manufacturing,4532,13269.2
NUTS III,Douro,2010,Manufacturing,1014,19524.9
NUTS III,Terras de Trás-os-Montes,2010,Manufacturing,674,21071.8
NUTS III,Oeste,2010,Manufacturing,2738,21131.8
NUTS III,Região de Aveiro,2010,Manufacturing,3607,28853.2
NUTS III,Região de Coimbra,2010,Manufacturing,2771,36240.5
NUTS III,Região de Leiria,2010,Manufacturing,3331,26142.1
NUTS III,Viseu Dão Lafões,2010,Manufacturing,1561,24856
NUTS III,Beira Baixa,2010,Manufacturing,559,23232.5
NUTS III,Médio Tejo,2010,Manufacturing,1717,23332.6
NUTS III,Beiras e Serra da Estrela,2010,Manufacturing,1431,16794.6
NUTS III,Área Metropolitana de Lisboa,2010,Manufacturing,12063,44707.3
NUTS III,Alentejo Litoral,2010,Manufacturing,465,33257.1
NUTS III,Baixo Alentejo,2010,Manufacturing,711,19142
NUTS III,Lezíria do Tejo,2010,Manufacturing,1477,25685.9
NUTS III,Alto Alentejo,2010,Manufacturing,651,21054.3
NUTS III,Alentejo Central,2010,Manufacturing,1119,26265.2
NUTS III,Algarve,2010,Manufacturing,2000,13368.8
NUTS I,Portugal Continental,2011,Mining and quarrying,1222,48003.2
NUTS III,Alto Minho,2011,Mining and quarrying,66,22704.3
NUTS III,Cávado,2011,Mining and quarrying,52,13380.6
NUTS III,Ave,2011,Mining and quarrying,49,13089
NUTS III,Área Metropolitana do Porto,2011,Mining and quarrying,43,22157.8
NUTS III,Alto Tâmega,2011,Mining and quarrying,55,17398.6
NUTS III,Tâmega e Sousa,2011,Mining and quarrying,88,15345
NUTS III,Douro,2011,Mining and quarrying,44,18854.8
NUTS III,Terras de Trás-os-Montes,2011,Mining and quarrying,17,34453.8
NUTS III,Oeste,2011,Mining and quarrying,78,23863.7
NUTS III,Região de Aveiro,2011,Mining and quarrying,39,32658.1
NUTS III,Região de Coimbra,2011,Mining and quarrying,63,32658.1
NUTS III,Região de Leiria,2011,Mining and quarrying,170,39546.5
NUTS III,Viseu Dão Lafões,2011,Mining and quarrying,46,32658.1
NUTS III,Beira Baixa,2011,Mining and quarrying,4,32658.1
NUTS III,Médio Tejo,2011,Mining and quarrying,14,32658.1
NUTS III,Beiras e Serra da Estrela,2011,Mining and quarrying,53,32658.1
NUTS III,Área Metropolitana de Lisboa,2011,Mining and quarrying,115,31165.5
NUTS III,Alentejo Litoral,2011,Mining and quarrying,11,34980.1
NUTS III,Baixo Alentejo,2011,Mining and quarrying,7,206331.4
NUTS III,Lezíria do Tejo,2011,Mining and quarrying,91,37947
NUTS III,Alto Alentejo,2011,Mining and quarrying,11,35812.1
NUTS III,Alentejo Central,2011,Mining and quarrying,61,21935.2
NUTS III,Algarve,2011,Mining and quarrying,45,21274.7
NUTS I,Portugal Continental,2011,Construction,93868,18606.5
NUTS III,Alto Minho,2011,Construction,3893,11401.8
NUTS III,Cávado,2011,Construction,4345,17363.1
NUTS III,Ave,2011,Construction,3233,15152.4
NUTS III,Área Metropolitana do Porto,2011,Construction,12234,23513.7
NUTS III,Alto Tâmega,2011,Construction,878,12049.1
NUTS III,Tâmega e Sousa,2011,Construction,4341,13428.6
NUTS III,Douro,2011,Construction,1761,14151.2
NUTS III,Terras de Trás-os-Montes,2011,Construction,1191,12299.4
NUTS III,Oeste,2011,Construction,4427,14520.7
NUTS III,Região de Aveiro,2011,Construction,4297,12540.9
NUTS III,Região de Coimbra,2011,Construction,5420,15098.3
NUTS III,Região de Leiria,2011,Construction,4729,17597.7
NUTS III,Viseu Dão Lafões,2011,Construction,3071,15232.3
NUTS III,Beira Baixa,2011,Construction,934,19053
NUTS III,Médio Tejo,2011,Construction,2840,12829.4
NUTS III,Beiras e Serra da Estrela,2011,Construction,2495,14426.3
NUTS III,Área Metropolitana de Lisboa,2011,Construction,21600,23957
NUTS III,Alentejo Litoral,2011,Construction,856,26661.3
NUTS III,Baixo Alentejo,2011,Construction,895,9977.1
NUTS III,Lezíria do Tejo,2011,Construction,1850,13856.4
NUTS III,Alto Alentejo,2011,Construction,788,11255.1
NUTS III,Alentejo Central,2011,Construction,1316,12274.3
NUTS III,Algarve,2011,Construction,6474,13872.4
NUTS I,Portugal Continental,2011,Human health and social work activities,80509,19042.8
NUTS III,Alto Minho,2011,Human health and social work activities,1598,17137.7
NUTS III,Cávado,2011,Human health and social work activities,2964,19223
NUTS III,Ave,2011,Human health and social work activities,2551,14627.5
NUTS III,Área Metropolitana do Porto,2011,Human health and social work activities,17049,20157.3
NUTS III,Alto Tâmega,2011,Human health and social work activities,449,12900.1
NUTS III,Tâmega e Sousa,2011,Human health and social work activities,1845,12799.3
NUTS III,Douro,2011,Human health and social work activities,1143,14463.6
NUTS III,Terras de Trás-os-Montes,2011,Human health and social work activities,757,14838.1
NUTS III,Oeste,2011,Human health and social work activities,1907,15396.5
NUTS III,Região de Aveiro,2011,Human health and social work activities,2214,15965.2
NUTS III,Região de Coimbra,2011,Human health and social work activities,5009,19808.8
NUTS III,Região de Leiria,2011,Human health and social work activities,1810,15439.1
NUTS III,Viseu Dão Lafões,2011,Human health and social work activities,1714,15959.1
NUTS III,Beira Baixa,2011,Human health and social work activities,479,14115.4
NUTS III,Médio Tejo,2011,Human health and social work activities,1379,15030.6
NUTS III,Beiras e Serra da Estrela,2011,Human health and social work activities,1232,15032.3
NUTS III,Área Metropolitana de Lisboa,2011,Human health and social work activities,29026,21156.4
NUTS III,Alentejo Litoral,2011,Human health and social work activities,435,11737
NUTS III,Baixo Alentejo,2011,Human health and social work activities,611,13413.4
NUTS III,Lezíria do Tejo,2011,Human health and social work activities,1330,14286.4
NUTS III,Alto Alentejo,2011,Human health and social work activities,626,13554.4
NUTS III,Alentejo Central,2011,Human health and social work activities,1098,15756
NUTS III,Algarve,2011,Human health and social work activities,3283,18124.7
NUTS I,Portugal Continental,2011,"Agriculture, farming, hunting, forestry and fishing",49917,10030.9
NUTS III,Alto Minho,2011,"Agriculture, farming, hunting, forestry and fishing",987,9160.4
NUTS III,Cávado,2011,"Agriculture, farming, hunting, forestry and fishing",1558,11775.7
NUTS III,Ave,2011,"Agriculture, farming, hunting, forestry and fishing",747,10987.4
NUTS III,Área Metropolitana do Porto,2011,"Agriculture, farming, hunting, forestry and fishing",3353,11004.3
NUTS III,Alto Tâmega,2011,"Agriculture, farming, hunting, forestry and fishing",663,7755.5
NUTS III,Tâmega e Sousa,2011,"Agriculture, farming, hunting, forestry and fishing",1026,5341.6
NUTS III,Douro,2011,"Agriculture, farming, hunting, forestry and fishing",2806,7882.5
NUTS III,Terras de Trás-os-Montes,2011,"Agriculture, farming, hunting, forestry and fishing",1485,7539.7
NUTS III,Oeste,2011,"Agriculture, farming, hunting, forestry and fishing",4467,12536.7
NUTS III,Região de Aveiro,2011,"Agriculture, farming, hunting, forestry and fishing",1654,17403.1
NUTS III,Região de Coimbra,2011,"Agriculture, farming, hunting, forestry and fishing",1811,12829.9
NUTS III,Região de Leiria,2011,"Agriculture, farming, hunting, forestry and fishing",1181,11628
NUTS III,Viseu Dão Lafões,2011,"Agriculture, farming, hunting, forestry and fishing",1300,10626.6
NUTS III,Beira Baixa,2011,"Agriculture, farming, hunting, forestry and fishing",778,6021.5
NUTS III,Médio Tejo,2011,"Agriculture, farming, hunting, forestry and fishing",1014,13350.7
NUTS III,Beiras e Serra da Estrela,2011,"Agriculture, farming, hunting, forestry and fishing",1598,5999.2
NUTS III,Área Metropolitana de Lisboa,2011,"Agriculture, farming, hunting, forestry and fishing",5195,10867.1
NUTS III,Alentejo Litoral,2011,"Agriculture, farming, hunting, forestry and fishing",2741,11717.4
NUTS III,Baixo Alentejo,2011,"Agriculture, farming, hunting, forestry and fishing",3335,6617.2
NUTS III,Lezíria do Tejo,2011,"Agriculture, farming, hunting, forestry and fishing",3172,10844.7
NUTS III,Alto Alentejo,2011,"Agriculture, farming, hunting, forestry and fishing",2017,5333.5
NUTS III,Alentejo Central,2011,"Agriculture, farming, hunting, forestry and fishing",3272,6899.9
NUTS III,Algarve,2011,"Agriculture, farming, hunting, forestry and fishing",3757,8998.1
NUTS I,Portugal Continental,2011,Manufacturing,68765,25563
NUTS III,Alto Minho,2011,Manufacturing,1630,25253.9
NUTS III,Cávado,2011,Manufacturing,4663,17656.1
NUTS III,Ave,2011,Manufacturing,5299,19633
NUTS III,Área Metropolitana do Porto,2011,Manufacturing,15369,23469.3
NUTS III,Alto Tâmega,2011,Manufacturing,482,20383.1
NUTS III,Tâmega e Sousa,2011,Manufacturing,4667,13408.4
NUTS III,Douro,2011,Manufacturing,1026,17666.5
NUTS III,Terras de Trás-os-Montes,2011,Manufacturing,668,21225.9
NUTS III,Oeste,2011,Manufacturing,2691,20400.1
NUTS III,Região de Aveiro,2011,Manufacturing,3521,27438.7
NUTS III,Região de Coimbra,2011,Manufacturing,2642,34728.7
NUTS III,Região de Leiria,2011,Manufacturing,3258,27081.2
NUTS III,Viseu Dão Lafões,2011,Manufacturing,1523,23555.8
NUTS III,Beira Baixa,2011,Manufacturing,541,20854.6
NUTS III,Médio Tejo,2011,Manufacturing,1683,23792
NUTS III,Beiras e Serra da Estrela,2011,Manufacturing,1402,16525.4
NUTS III,Área Metropolitana de Lisboa,2011,Manufacturing,11532,43339.3
NUTS III,Alentejo Litoral,2011,Manufacturing,451,33979.9
NUTS III,Baixo Alentejo,2011,Manufacturing,679,17692.7
NUTS III,Lezíria do Tejo,2011,Manufacturing,1445,26177.9
NUTS III,Alto Alentejo,2011,Manufacturing,635,16771.9
