NUTS,Location,Year,Fires,Firefighters
NUTS I,Portugal Continental,2009,29782,31003
NUTS III,Alto Minho,2009,2059,702
NUTS III,Cávado,2009,1022,728
NUTS III,Ave,2009,1963,1079
NUTS III,Área Metropolitana do Porto,2009,4408,3600
NUTS III,Alto Tâmega,2009,1889,533
NUTS III,Tâmega e Sousa,2009,5241,1660
NUTS III,Douro,2009,1426,1542
NUTS III,Terras de Trás-os-Montes,2009,859,718
NUTS III,Oeste,2009,1034,1143
NUTS III,Região de Aveiro,2009,897,1174
NUTS III,Região de Coimbra,2009,844,2056
NUTS III,Região de Leiria,2009,418,1408
NUTS III,Viseu Dão Lafões,2009,1325,1325
NUTS III,Beira Baixa,2009,283,602
NUTS III,Médio Tejo,2009,494,1234
NUTS III,Beiras e Serra da Estrela,2009,1406,1571
NUTS III,Área Metropolitana de Lisboa,2009,1965,5233
NUTS III,Alentejo Litoral,2009,190,457
NUTS III,Baixo Alentejo,2009,343,648
NUTS III,Lezíria do Tejo,2009,474,876
NUTS III,Alto Alentejo,2009,306,776
NUTS III,Alentejo Central,2009,318,764
NUTS III,Algarve,2009,618,1174
NUTS I,Portugal Continental,2010,26113,28522
NUTS III,Alto Minho,2010,2269,636
NUTS III,Cávado,2010,856,682
NUTS III,Ave,2010,1433,884
NUTS III,Área Metropolitana do Porto,2010,4752,3437
NUTS III,Alto Tâmega,2010,892,410
NUTS III,Tâmega e Sousa,2010,3904,1538
NUTS III,Douro,2010,878,1176
NUTS III,Terras de Trás-os-Montes,2010,435,668
NUTS III,Oeste,2010,950,1037
NUTS III,Região de Aveiro,2010,1227,1131
NUTS III,Região de Coimbra,2010,932,1952
NUTS III,Região de Leiria,2010,435,1267
NUTS III,Viseu Dão Lafões,2010,1405,1185
NUTS III,Beira Baixa,2010,227,567
NUTS III,Médio Tejo,2010,536,1180
NUTS III,Beiras e Serra da Estrela,2010,968,1425
NUTS III,Área Metropolitana de Lisboa,2010,2043,5036
NUTS III,Alentejo Litoral,2010,164,436
NUTS III,Baixo Alentejo,2010,294,583
NUTS III,Lezíria do Tejo,2010,489,814
NUTS III,Alto Alentejo,2010,296,664
NUTS III,Alentejo Central,2010,352,734
NUTS III,Algarve,2010,376,1080
NUTS I,Portugal Continental,2011,29782,28940
NUTS III,Alto Minho,2011,2428,571
NUTS III,Cávado,2011,1281,745
NUTS III,Ave,2011,1975,943
NUTS III,Área Metropolitana do Porto,2011,5226,3488
NUTS III,Alto Tâmega,2011,1557,480
NUTS III,Tâmega e Sousa,2011,4017,1653
NUTS III,Douro,2011,1423,1356
NUTS III,Terras de Trás-os-Montes,2011,808,705
NUTS III,Oeste,2011,1514,1102
NUTS III,Região de Aveiro,2011,1341,1043
NUTS III,Região de Coimbra,2011,1078,1951
NUTS III,Região de Leiria,2011,580,1169
NUTS III,Viseu Dão Lafões,2011,1215,1225
NUTS III,Beira Baixa,2011,227,558
NUTS III,Médio Tejo,2011,452,1195
NUTS III,Beiras e Serra da Estrela,2011,922,1428
NUTS III,Área Metropolitana de Lisboa,2011,1768,5105
NUTS III,Alentejo Litoral,2011,143,420
NUTS III,Baixo Alentejo,2011,318,581
NUTS III,Lezíria do Tejo,2011,544,804
NUTS III,Alto Alentejo,2011,308,655
NUTS III,Alentejo Central,2011,216,692
NUTS III,Algarve,2011,441,1071
NUTS I,Portugal Continental,2012,25352,30049
NUTS III,Alto Minho,2012,1331,668
NUTS III,Cávado,2012,692,769
NUTS III,Ave,2012,1440,943
NUTS III,Área Metropolitana do Porto,2012,4000,3604
NUTS III,Alto Tâmega,2012,1207,519
NUTS III,Tâmega e Sousa,2012,3013,1713
NUTS III,Douro,2012,1399,1388
NUTS III,Terras de Trás-os-Montes,2012,852,754
NUTS III,Oeste,2012,1200,1098
NUTS III,Região de Aveiro,2012,1017,1073
NUTS III,Região de Coimbra,2012,1182,2054
NUTS III,Região de Leiria,2012,681,1293
NUTS III,Viseu Dão Lafões,2012,1308,1284
NUTS III,Beira Baixa,2012,265,580
NUTS III,Médio Tejo,2012,612,1236
NUTS III,Beiras e Serra da Estrela,2012,912,1478
NUTS III,Área Metropolitana de Lisboa,2012,1749,5257
NUTS III,Alentejo Litoral,2012,193,417
NUTS III,Baixo Alentejo,2012,273,628
NUTS III,Lezíria do Tejo,2012,770,856
NUTS III,Alto Alentejo,2012,313,656
NUTS III,Alentejo Central,2012,369,714
NUTS III,Algarve,2012,574,1067
NUTS I,Portugal Continental,2013,23129,28227
NUTS III,Alto Minho,2013,1882,652
NUTS III,Cávado,2013,776,732
NUTS III,Ave,2013,1269,901
NUTS III,Área Metropolitana do Porto,2013,3896,3357
NUTS III,Alto Tâmega,2013,866,473
NUTS III,Tâmega e Sousa,2013,3754,1598
NUTS III,Douro,2013,964,1305
NUTS III,Terras de Trás-os-Montes,2013,390,703
NUTS III,Oeste,2013,828,1115
NUTS III,Região de Aveiro,2013,797,1002
NUTS III,Região de Coimbra,2013,901,1910
NUTS III,Região de Leiria,2013,414,1176
NUTS III,Viseu Dão Lafões,2013,1182,1188
NUTS III,Beira Baixa,2013,191,540
NUTS III,Médio Tejo,2013,443,1149
NUTS III,Beiras e Serra da Estrela,2013,723,1426
NUTS III,Área Metropolitana de Lisboa,2013,1895,4855
NUTS III,Alentejo Litoral,2013,162,411
NUTS III,Baixo Alentejo,2013,354,569
NUTS III,Lezíria do Tejo,2013,535,768
NUTS III,Alto Alentejo,2013,256,693
NUTS III,Alentejo Central,2013,198,645
NUTS III,Algarve,2013,453,1059
NUTS I,Portugal Continental,2014,9388,28509
NUTS III,Alto Minho,2014,382,603
NUTS III,Cávado,2014,224,762
NUTS III,Ave,2014,391,933
NUTS III,Área Metropolitana do Porto,2014,1116,3478
NUTS III,Alto Tâmega,2014,377,461
NUTS III,Tâmega e Sousa,2014,831,1658
NUTS III,Douro,2014,439,1315
NUTS III,Terras de Trás-os-Montes,2014,285,702
NUTS III,Oeste,2014,517,1089
NUTS III,Região de Aveiro,2014,277,1004
NUTS III,Região de Coimbra,2014,396,1918
NUTS III,Região de Leiria,2014,211,1202
NUTS III,Viseu Dão Lafões,2014,372,1173
NUTS III,Beira Baixa,2014,138,530
NUTS III,Médio Tejo,2014,313,1164
NUTS III,Beiras e Serra da Estrela,2014,470,1407
NUTS III,Área Metropolitana de Lisboa,2014,1149,4897
NUTS III,Alentejo Litoral,2014,122,403
NUTS III,Baixo Alentejo,2014,271,566
NUTS III,Lezíria do Tejo,2014,375,814
NUTS III,Alto Alentejo,2014,208,715
NUTS III,Alentejo Central,2014,179,673
NUTS III,Algarve,2014,345,1042
NUTS I,Portugal Continental,2015,19643,27427
NUTS III,Alto Minho,2015,1321,566
NUTS III,Cávado,2015,647,718
NUTS III,Ave,2015,1218,919
NUTS III,Área Metropolitana do Porto,2015,2579,3474
NUTS III,Alto Tâmega,2015,977,449
NUTS III,Tâmega e Sousa,2015,2594,1607
NUTS III,Douro,2015,856,1225
NUTS III,Terras de Trás-os-Montes,2015,479,688
NUTS III,Oeste,2015,993,1048
NUTS III,Região de Aveiro,2015,656,992
NUTS III,Região de Coimbra,2015,652,1804
NUTS III,Região de Leiria,2015,457,1102
NUTS III,Viseu Dão Lafões,2015,704,1114
NUTS III,Beira Baixa,2015,285,487
NUTS III,Médio Tejo,2015,541,1125
NUTS III,Beiras e Serra da Estrela,2015,699,1316
NUTS III,Área Metropolitana de Lisboa,2015,1856,4751
NUTS III,Alentejo Litoral,2015,205,383
NUTS III,Baixo Alentejo,2015,288,544
NUTS III,Lezíria do Tejo,2015,665,765
NUTS III,Alto Alentejo,2015,316,664
NUTS III,Alentejo Central,2015,250,642
NUTS III,Algarve,2015,405,1044
NUTS I,Portugal Continental,2016,16104,26734
NUTS III,Alto Minho,2016,1109,563
NUTS III,Cávado,2016,569,661
NUTS III,Ave,2016,1044,852
NUTS III,Área Metropolitana do Porto,2016,2431,3378
NUTS III,Alto Tâmega,2016,726,471
NUTS III,Tâmega e Sousa,2016,2699,1529
NUTS III,Douro,2016,639,1200
NUTS III,Terras de Trás-os-Montes,2016,304,647
NUTS III,Oeste,2016,728,989
NUTS III,Região de Aveiro,2016,541,971
NUTS III,Região de Coimbra,2016,487,1722
NUTS III,Região de Leiria,2016,321,1052
NUTS III,Viseu Dão Lafões,2016,574,1067
NUTS III,Beira Baixa,2016,220,465
NUTS III,Médio Tejo,2016,440,1153
NUTS III,Beiras e Serra da Estrela,2016,489,1272
NUTS III,Área Metropolitana de Lisboa,2016,1191,4684
NUTS III,Alentejo Litoral,2016,186,385
NUTS III,Baixo Alentejo,2016,203,552
NUTS III,Lezíria do Tejo,2016,490,755
NUTS III,Alto Alentejo,2016,237,712
NUTS III,Alentejo Central,2016,202,594
NUTS III,Algarve,2016,274,1060
NUTS I,Portugal Continental,2017,21006,26110
NUTS III,Alto Minho,2017,1163,538
NUTS III,Cávado,2017,637,605
NUTS III,Ave,2017,1306,849
NUTS III,Área Metropolitana do Porto,2017,3003,3307
NUTS III,Alto Tâmega,2017,960,439
NUTS III,Tâmega e Sousa,2017,2945,1482
NUTS III,Douro,2017,1084,1192
NUTS III,Terras de Trás-os-Montes,2017,657,628
NUTS III,Oeste,2017,989,922
NUTS III,Região de Aveiro,2017,876,912
NUTS III,Região de Coimbra,2017,800,1718
NUTS III,Região de Leiria,2017,460,1033
NUTS III,Viseu Dão Lafões,2017,1086,1045
NUTS III,Beira Baixa,2017,343,445
NUTS III,Médio Tejo,2017,686,1125
NUTS III,Beiras e Serra da Estrela,2017,776,1218
NUTS III,Área Metropolitana de Lisboa,2017,1234,4752
NUTS III,Alentejo Litoral,2017,172,353
NUTS III,Baixo Alentejo,2017,300,531
NUTS III,Lezíria do Tejo,2017,506,727
NUTS III,Alto Alentejo,2017,344,680
NUTS III,Alentejo Central,2017,285,541
NUTS III,Algarve,2017,394,1068
